experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,fixed,0.05,100,29.2,5,0.002054794520547945,0.007876712328767124,0.03356164383561644,0.052054794520547946,0.1517123287671233,0.4828767123287671,22.498818630093066,0.03595890410958904,0.964041095890411,0.0,0.0,0.008561643835616438,0.018835616438356163,0.0006849315068493151,0.0,0.0017123287671232876,0.0,0.0,0.0,0.028082191780821917,1.2602739726027397
1,1,cautious,fixed,0.05,100,29.42,4,0.001699524133242692,0.011216859279401768,0.04724677090414684,0.05098572399728076,0.1600951733514616,0.5186947654656696,22.37240409349699,0.04860639021074099,0.951393609789259,0.0,0.0,0.006798096532970768,0.02821210061182869,0.002379333786539769,0.0,0.001699524133242692,0.0,0.0,0.0,0.037389530931339225,1.300475866757308
2,1,cautious,fixed,0.05,100,29.53,4,0.0016931933626820183,0.006434134778191669,0.034879783271249576,0.055198103623433796,0.1676261429055198,0.5716220792414494,22.09055837653877,0.03555706061632238,0.9644429393836776,0.0,0.0,0.005756857433118863,0.018963765662038605,0.0003386386725364037,0.0,0.0016931933626820183,0.0,0.0,0.0,0.02505926176769387,1.33897731120894
3,1,cautious,fixed,0.05,100,29.55,3,0.0010152284263959391,0.0077834179357022,0.03824027072758037,0.07309644670050762,0.22436548223350253,0.5570219966159052,22.16489109440761,0.03620981387478849,0.9637901861252115,0.0,0.0,0.006091370558375634,0.01895093062605753,0.0010152284263959391,0.0,0.0006768189509306261,0.0,0.0,0.0,0.026057529610829102,1.3231810490693738
4,1,cautious,fixed,0.05,100,29.89,1,0.00033456005352960856,0.00702576112412178,0.03713616594178655,0.030779524924723987,0.14787554366008698,0.5433255269320844,22.266132059866287,0.05553696888591502,0.944463031114085,0.0,0.0,0.0020073603211776514,0.03713616594178655,0.0016728002676480427,0.0,0.00033456005352960856,0.0,0.0,0.0,0.04081632653061224,1.3338909334225493
