experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,fixed,0.5,100,28.7,8,0.004181184668989547,0.01951219512195122,0.06062717770034843,0.027526132404181183,0.11045296167247387,0.33484320557491287,23.510810503828175,0.16411149825783972,0.8358885017421602,0.0,0.04041811846689895,0.01916376306620209,0.14947735191637632,0.014285714285714285,0.0031358885017421603,0.0024390243902439024,0.0031358885017421603,0.0003484320557491289,0.0006968641114982578,0.2264808362369338,1.1721254355400696
1,1,cautious,fixed,0.5,100,28.63,7,0.0024449877750611247,0.01851205029689137,0.06636395389451624,0.012224938875305624,0.09919664687390849,0.36465246245197347,23.41388067510839,0.15892420537897312,0.8410757946210269,0.0,0.03178484107579462,0.015717778553964373,0.14180929095354522,0.013971358714634998,0.0006985679357317499,0.00209570380719525,0.00034928396786587494,0.00034928396786587494,0.0,0.20398183723367097,1.231575270695075
2,1,cautious,fixed,0.5,100,29.53,4,0.002031832035218422,0.011513714866237725,0.05181171689806976,0.02675245513037589,0.12190992211310532,0.41449373518455807,23.107826353391914,0.1483237385709448,0.8516762614290552,0.0003386386725364037,0.037588892651540806,0.010836437521164918,0.13410091432441584,0.012190992211310531,0.001015916017609211,0.001015916017609211,0.001015916017609211,0.001015916017609211,0.001015916017609211,0.19607179139857772,1.254994920419912
3,1,cautious,fixed,0.5,100,30.0,0,0.001,0.012333333333333333,0.052333333333333336,0.05266666666666667,0.16933333333333334,0.44533333333333336,22.977183797206905,0.13133333333333333,0.8686666666666667,0.0016666666666666668,0.03966666666666667,0.008,0.11666666666666667,0.010666666666666666,0.0006666666666666666,0.0,0.0003333333333333333,0.0003333333333333333,0.0,0.17733333333333334,1.2473333333333334
4,1,cautious,fixed,0.5,100,29.23,4,0.0013684570646595963,0.014368799178925761,0.056790968183373244,0.015395141977420458,0.09339719466301745,0.3342456380431064,23.6027081330261,0.19603147451248717,0.8039685254875129,0.0,0.03968525487512829,0.01094765651727677,0.18029421826890182,0.016421484775915155,0.0010263427984946972,0.0013684570646595963,0.0010263427984946972,0.00034211426616489907,0.00034211426616489907,0.24837495723571673,1.1929524461170031
