experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,nop,nan,100,26.61,28,0.027433295753476136,0.12363773017662533,0.2724539646749342,0.00977076287110109,0.03494926719278467,0.08455467869222097,29.693904981571677,0.2465238632093198,0.3258173618940248,0.24239007891770012,0.1852686959789553,0.9819616685456595,0.012777151446824501,0.12251033446072905,0.5764750093949643,0.04171364148816235,0.028560691469372415,0.009019165727170236,0.013904547162720781,nan,nan,1.763998496805712,0.0
1,1,cautious,nop,nan,100,27.16,23,0.028350515463917526,0.12444771723122239,0.27245949926362295,0.009204712812960236,0.036818851251840944,0.08357879234167893,29.70523729507774,0.24558173784977907,0.31921944035346095,0.24815905743740796,0.187039764359352,0.9834315169366715,0.011045655375552283,0.11561119293078057,0.562960235640648,0.04639175257731959,0.03460972017673049,0.007731958762886598,0.011045655375552283,nan,nan,1.7540500736377025,0.0
2,1,cautious,nop,nan,100,26.8,28,0.034328358208955224,0.13432835820895522,0.27686567164179104,0.013059701492537313,0.044402985074626866,0.09925373134328358,29.62829647177626,0.2585820895522388,0.3238805970149254,0.2652985074626866,0.15223880597014924,0.9757462686567164,0.012686567164179104,0.12350746268656716,0.585820895522388,0.04552238805970149,0.037686567164179105,0.0070895522388059705,0.014925373134328358,nan,nan,1.7809701492537313,0.0
3,1,cautious,nop,nan,100,25.81,31,0.02402169701666021,0.1162340178225494,0.2646261139093375,0.009298721425803952,0.029445951181712515,0.08020147229755908,29.68516180647438,0.23944207671445175,0.34289035257652073,0.2797365362262689,0.13793103448275862,0.9856644711352189,0.014335528864781092,0.11197210383572259,0.5858194498256489,0.045331266950794265,0.03254552499031383,0.005036807438977141,0.015110422316931422,nan,nan,1.7756683456024798,0.0
4,1,cautious,nop,nan,100,24.44,35,0.04050736497545008,0.14607201309328968,0.2876432078559738,0.018412438625204582,0.05073649754500818,0.10310965630114566,29.635310536792062,0.23690671031096563,0.33265139116202946,0.2549099836333879,0.17553191489361702,0.9750409165302782,0.020458265139116204,0.13707037643207856,0.5716039279869067,0.042962356792144024,0.03887070376432079,0.015548281505728314,0.012684124386252046,nan,nan,1.7860065466448445,0.0
