experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,naive,nan,100,28.71,6,0.042842215256008356,0.042842215256008356,0.10693138279345175,0.029258098223615466,0.124695228143504,0.24521072796934865,25.757916751867995,0.30407523510971785,0.6959247648902821,0.3510971786833856,0.06687565308254964,0.04911180773249739,0.2939742250087078,0.03099965168930686,0.0020898641588296763,0.00034831069313827936,0.0017415534656913968,0.0,0.0,2.680599094392198,2.780912574016022
1,1,cautious,naive,nan,100,29.05,5,0.04475043029259897,0.04475043029259897,0.11222030981067126,0.02512908777969019,0.12495697074010327,0.27091222030981066,25.718886062394226,0.3352839931153184,0.6647160068846816,0.34836488812392424,0.07401032702237521,0.04509466437177281,0.3225473321858864,0.03476764199655766,0.0034423407917383822,0.0006884681583476765,0.0017211703958691911,0.00034423407917383823,0.0,2.7993115318416524,2.793459552495697
2,1,cautious,naive,nan,100,30.0,0,0.038,0.038,0.10733333333333334,0.02266666666666667,0.15633333333333332,0.30433333333333334,25.375419252472206,0.31266666666666665,0.6873333333333334,0.30333333333333334,0.075,0.042,0.304,0.034666666666666665,0.004,0.0003333333333333333,0.0023333333333333335,0.0,0.0,2.6003333333333334,3.0953333333333335
3,1,cautious,naive,nan,100,29.81,1,0.03857765850385777,0.03857765850385777,0.10533378061053338,0.043274069104327406,0.1700771553170077,0.31164038913116404,25.182110898013182,0.28916470982891646,0.7108352901710835,0.27943643072794366,0.07480711170748071,0.04159677960415968,0.2801073465280107,0.028178463602817845,0.0036900369003690036,0.0006709158000670916,0.0016772895001677288,0.0,0.0,2.419993290841999,3.190540087219054
4,1,cautious,naive,nan,100,29.3,4,0.040273037542662114,0.040273037542662114,0.11638225255972696,0.018430034129692834,0.09522184300341296,0.2402730375426621,25.86438615983587,0.31331058020477814,0.6866894197952218,0.34061433447098977,0.0621160409556314,0.04709897610921502,0.3030716723549488,0.03583617747440273,0.004095563139931741,0.0006825938566552901,0.0037542662116040954,0.0,0.0,2.67679180887372,2.8839590443686007
