experiment_id,profile,mode,method,value,num_episodes,episode_length_mean,collision_count,mean_ttc,mean_following_distance,mean_speed,lane_0_time_mean,lane_1_time_mean,speed_violations_rate_mean,tailgating_violations_rate_mean,braking_violations_rate_mean,lane_change_tailgating_violations_rate_mean,lane_change_braking_violations_rate_mean,collision_violations_rate_mean,lane_change_collision_violations_rate_mean,cost_rate_mean,avoided_cost_rate_mean
0,cautious,default,fixed,10.0,100,147.69,3,13.767457775446733,31.393446393632484,26.961162195864695,0.2914601841382652,0.7085398158617349,0.2573402462241099,0.08386470393537104,0.05784149099687785,0.025364238410596034,0.004701986754966887,0.0,0.0,2.1795871592947993,1.6284282427094576
1,cautious,default,fixed,10.0,100,151.0,0,27.47366802668544,31.566867426136707,27.1414973724615,0.3043046357615894,0.6956953642384106,0.2691390728476821,0.08960264900662249,0.06364238410596026,0.025562913907284764,0.003774834437086092,0.0,0.0,2.2931125827814567,1.5813245033112582
2,cautious,default,fixed,10.0,100,150.77,1,44.86806451870484,30.77209952733857,26.75365427003744,0.29066225165562914,0.7093377483443709,0.2480846440397351,0.0854661630794702,0.06005949917218542,0.025442363410596025,0.004304635761589404,0.0,0.0,2.1728621688741727,1.5027028145695365
3,cautious,default,fixed,10.0,100,149.59,1,15.00865538166856,30.61471423051579,26.651316948017936,0.2769735099337748,0.7230264900662252,0.24563576158940395,0.09635761589403974,0.06033774834437086,0.022715231788079472,0.0036423841059602647,0.0,0.0,2.1672251655629142,1.6002317880794703
4,cautious,default,fixed,10.0,100,150.08,3,19.432653639176444,29.94610278758618,27.101647979360575,0.2826044594192047,0.7173955405807952,0.25329985493181145,0.06572810790481698,0.058065615908479466,0.026085990862621075,0.0029552090009257277,0.0,0.0,2.0907712816050026,1.6929371831499491
