experiment_id,profile,mode,method,value,num_episodes,episode_length_mean,collision_count,mean_ttc,mean_following_distance,mean_speed,lane_0_time_mean,lane_1_time_mean,speed_violations_rate_mean,tailgating_violations_rate_mean,braking_violations_rate_mean,lane_change_tailgating_violations_rate_mean,lane_change_braking_violations_rate_mean,collision_violations_rate_mean,lane_change_collision_violations_rate_mean,cost_rate_mean,avoided_cost_rate_mean
0,efficient,default,fixed,5.0,100,25.99,17,5.934069166049125,28.81555355639566,28.129480974851294,0.5906858974358975,0.4093141025641026,0.09566666666666666,0.064,0.056232905982905985,0.1223162393162393,0.0165,0.003935897435897436,0.011166666666666667,2.7361217948717944,1.1514358974358974
1,efficient,default,fixed,5.0,100,26.42,15,6.404423303219069,27.064721469622445,27.6010629460099,0.6009493145743146,0.39905068542568534,0.14926984126984125,0.08244877344877345,0.04771067821067821,0.11960984848484844,0.01627020202020202,0.010984126984126983,0.007825757575757574,2.966864357864358,1.115888888888889
2,efficient,default,fixed,5.0,100,27.55,13,7.678222271352617,28.784128062616425,27.613593022620893,0.5633531497238394,0.4366468502761605,0.15248193760262727,0.07865838184803704,0.04109441707717569,0.12864281982385428,0.013299373040752354,0.006132706374085684,0.008511494252873562,3.025007575757576,0.957636736826392
3,efficient,default,fixed,5.0,100,27.88,12,6.251222071261372,28.994372681707897,27.711675994433886,0.5645363068304246,0.4354636931695755,0.14261116138763197,0.07936892911010558,0.04050330747683689,0.11979696186166773,0.011993277310924371,0.005679034690799396,0.010416806722689076,2.924907067442362,1.0917939668174963
4,efficient,default,fixed,5.0,100,26.96,14,5.6965216374624426,27.228086235753786,28.03315000732695,0.5447077922077922,0.4552922077922078,0.11013419913419914,0.0657965367965368,0.043557720057720045,0.12915151515151513,0.01266666666666667,0.007073593073593073,0.011666666666666669,2.872482323232324,0.8914170274170274
