experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,fixed,1.0,100,27.65,10,0.01735985533453888,0.10669077757685352,0.21772151898734177,0.04050632911392405,0.21916817359855334,0.3482820976491863,27.151516287423433,0.7663652802893309,0.23363471971066907,0.0,0.028209764918625677,0.018806509945750453,0.22350813743218806,0.0054249547920434,0.003978300180831827,0.0003616636528028933,0.003616636528028933,0.0,0.0003616636528028933,0.2799276672694394,0.44773960216998193
1,1,efficient,fixed,1.0,100,27.43,11,0.021144732045205977,0.1071819176084579,0.2107181917608458,0.03937294932555596,0.23769595333576377,0.34998177178271966,27.163263388410368,0.7688662048851622,0.23113379511483778,0.0,0.032446226759022964,0.01859278162595698,0.22165512212905578,0.004010207801676996,0.0036456434560699965,0.0032810791104629965,0.0025519504192489974,0.0,0.0,0.2803499817717827,0.46445497630331756
2,1,efficient,fixed,1.0,100,28.68,6,0.01499302649930265,0.10669456066945607,0.21827057182705717,0.04811715481171548,0.21582984658298465,0.33856345885634587,27.17860580224357,0.7332635983263598,0.26673640167364016,0.0,0.03172942817294282,0.015690376569037656,0.2524407252440725,0.006276150627615063,0.002789400278940028,0.0020920502092050207,0.0024407252440725243,0.0,0.0003486750348675035,0.3089260808926081,0.41736401673640167
3,1,efficient,fixed,1.0,100,28.86,6,0.02079002079002079,0.11330561330561331,0.22106722106722107,0.035343035343035345,0.2234927234927235,0.35585585585585583,27.120433858810628,0.7404712404712405,0.25952875952875953,0.0,0.02598752598752599,0.017671517671517672,0.2480942480942481,0.005544005544005544,0.002772002772002772,0.0017325017325017325,0.002772002772002772,0.0,0.0,0.30006930006930005,0.45495495495495497
4,1,efficient,fixed,1.0,100,28.58,6,0.02239328201539538,0.12526242127361792,0.244926522043387,0.027641707487753672,0.22463261021693492,0.33869839048285516,27.27561612857727,0.7533240027991602,0.24667599720083974,0.0,0.03673897830650805,0.020643806857942617,0.2358292512246326,0.005948215535339398,0.004198740377886634,0.0017494751574527643,0.003848845346396081,0.0,0.0,0.3033589923023093,0.4464660601819454
