experiment_id,profile,mode,method,value,num_episodes,episode_length_mean,collision_count,mean_ttc,mean_following_distance,mean_speed,lane_0_time_mean,lane_1_time_mean,speed_violations_rate_mean,tailgating_violations_rate_mean,braking_violations_rate_mean,lane_change_tailgating_violations_rate_mean,lane_change_braking_violations_rate_mean,collision_violations_rate_mean,lane_change_collision_violations_rate_mean,cost_rate_mean,avoided_cost_rate_mean
0,efficient,default,fixed,1.0,100,27.57,10,5.896254878037914,27.997083361880613,27.767002053027003,0.6185833333333334,0.3814166666666667,0.12233333333333332,0.074,0.035694444444444445,0.1066111111111111,0.01,0.0006666666666666666,0.006666666666666667,2.601583333333333,1.4826666666666668
1,efficient,default,fixed,1.0,100,27.29,11,6.224596126997125,26.901960011613205,27.44451720638944,0.6263015873015872,0.37369841269841275,0.16001984126984126,0.08487301587301585,0.03771825396825396,0.09891666666666665,0.005611111111111111,0.009067460317460316,0.0029166666666666664,2.7643492063492063,1.4066388888888885
2,efficient,default,fixed,1.0,100,28.57,6,7.5752335684806065,28.14052095260827,27.432989631543368,0.6016666666666667,0.3983333333333334,0.16099999999999998,0.078,0.03133333333333333,0.10566666666666664,0.005333333333333333,0.005666666666666666,0.0033333333333333335,2.762999999999999,1.3536666666666668
3,efficient,default,fixed,1.0,100,28.74,7,5.904541674902307,27.80847371573658,27.311991859852082,0.5815954415954415,0.4184045584045585,0.17440740740740743,0.08651851851851852,0.03138960113960113,0.09970512820512818,0.004666666666666667,0.005037037037037038,0.004666666666666667,2.880380341880342,1.3909629629629625
4,efficient,default,fixed,1.0,100,28.58,6,5.4845537391539585,25.437753510913826,27.539952456009672,0.5612499999999999,0.43875000000000014,0.14728571428571427,0.08119047619047619,0.037214285714285714,0.10574999999999997,0.0045833333333333325,0.005285714285714286,0.0045833333333333325,2.887714285714287,1.2009880952380951
