experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,adaptive,0.01,100,28.06,8,0.015680684248039915,0.10584461867426942,0.2166785459729152,0.026728439059158945,0.20883820384889523,0.34853884533143265,27.119662192436454,0.7744119743406985,0.2255880256593015,0.0,0.0270848182466144,0.015680684248039915,0.21418389166072702,0.005345687811831789,0.003563791874554526,0.0010691375623663579,0.0032074126870990736,0.0,0.0,0.26585887384176765,0.45081967213114754
1,1,efficient,adaptive,0.01,100,27.79,9,0.017992083483267363,0.10939186757826556,0.2148254767902123,0.04534005037783375,0.23569629363080244,0.3548038862900324,27.076748479790268,0.7625044980208708,0.2374955019791292,0.0,0.02878733357322778,0.013673983447283196,0.2277797768981648,0.004318100035984167,0.0035984166966534724,0.004318100035984167,0.0021590500179920835,0.0003598416696653472,0.0,0.27815761065131345,0.4534005037783375
2,1,efficient,adaptive,0.01,100,28.89,5,0.013153340256143994,0.10557286258220838,0.21426098996192455,0.029768085842852197,0.21703011422637591,0.3496019383869851,27.05292372040781,0.7369331948771201,0.2630668051228799,0.0,0.02665282104534441,0.012807199723087574,0.24922118380062305,0.006230529595015576,0.0027691242644513675,0.0013845621322256837,0.0024229837313949464,0.00034614053305642093,0.0006922810661128419,0.297680858428522,0.4257528556593977
3,1,efficient,adaptive,0.01,100,28.96,5,0.015883977900552487,0.10911602209944751,0.2154696132596685,0.028314917127071824,0.23549723756906077,0.3736187845303867,26.921823106971445,0.7261740331491713,0.2738259668508287,0.0,0.024861878453038673,0.014848066298342542,0.26243093922651933,0.004488950276243094,0.0017265193370165745,0.0024171270718232043,0.0017265193370165745,0.0,0.0,0.3083563535911602,0.4630524861878453
4,1,efficient,adaptive,0.01,100,28.59,6,0.02168590416229451,0.12067156348373557,0.24554039874081846,0.015389996502273523,0.20811472542847148,0.33193424274221756,27.29616329948156,0.7352221056313396,0.2647778943686604,0.0,0.026232948583420776,0.017838405036726127,0.2539349422875131,0.005946135012242042,0.004896817068905212,0.002098635886673662,0.004197271773347324,0.0,0.0003497726477789437,0.30884924798880725,0.42882126617698496
