experiment_id,profile,mode,method,value,num_episodes,episode_length_mean,collision_count,mean_ttc,mean_following_distance,mean_speed,lane_0_time_mean,lane_1_time_mean,speed_violations_rate_mean,tailgating_violations_rate_mean,braking_violations_rate_mean,lane_change_tailgating_violations_rate_mean,lane_change_braking_violations_rate_mean,collision_violations_rate_mean,lane_change_collision_violations_rate_mean,cost_rate_mean,avoided_cost_rate_mean
0,cautious,nop,,0.0,100,27.47,12,6.252430061919306,31.714502416931694,28.37215630599253,0.467952564102564,0.532047435897436,0.8059316239316242,0.09430811965811968,0.12432435897435898,0.14599401709401708,0.05057777777777777,0.002435897435897436,0.04191111111111111,6.423220085470087,0.0
1,cautious,nop,,0.0,100,26.4,19,18.662294441309626,29.17053853067051,27.708984201055845,0.48298012075643654,0.5170198792435634,0.7403795239847872,0.11745476599423968,0.14305991084938452,0.15644576476155422,0.044545407808565696,0.023675128964602648,0.03768093894409683,6.397058979032664,0.0
2,cautious,nop,,0.0,100,27.19,16,7.8064768024604305,31.267297128633235,27.893591439318683,0.4636446206486774,0.5363553793513226,0.757327473518143,0.10790717520027865,0.1276116591882312,0.16135213186633063,0.04239782203372467,0.0064626436781609195,0.032136327780851105,6.319112873153441,0.0
3,cautious,nop,,0.0,100,26.69,21,6.404227079375511,31.076206178986496,27.88210451737975,0.4538080610228175,0.5461919389771823,0.742600357384333,0.10168351053949432,0.13225892346328452,0.15010056449635556,0.045119694031458726,0.014675144328288346,0.03598141564318035,6.19785748556717,0.0
4,cautious,nop,,0.0,100,27.14,20,5.623956860981989,28.871379056396123,28.110164906484172,0.4583622357174988,0.5416377642825011,0.7788903872930188,0.10357235610393502,0.13625352912195018,0.16546429428271534,0.0428791305186042,0.006815916929074825,0.03449817813765182,6.445448012124327,0.0
