experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,adaptive,0.01,100,28.06,8,0.10513186029935852,0.10513186029935852,0.21774768353528154,0.03207412687099073,0.2066999287241625,0.3453314326443336,27.14923053398793,0.748039914468995,0.25196008553100496,0.0,0.022808267997148968,0.013898788310762652,0.24162508909479685,0.005702066999287242,0.003563791874554526,0.0007127583749109052,0.0032074126870990736,0.0,0.0,0.9547398431931575,1.740199572344975
1,1,efficient,adaptive,0.01,100,28.04,8,0.1080599144079886,0.1080599144079886,0.21683309557774608,0.049572039942938656,0.2332382310984308,0.35342368045649075,27.074275583416618,0.7425106990014265,0.2574893009985735,0.0,0.024251069900142655,0.01355206847360913,0.24750356633380885,0.0039229671897289585,0.0042796005706134095,0.0042796005706134095,0.0028530670470756064,0.0,0.0003566333808844508,0.9725392296718973,1.7924393723252496
2,1,efficient,adaptive,0.01,100,28.89,5,0.10834198684665974,0.10834198684665974,0.22083766008999653,0.031498788508134305,0.20941502249913466,0.3395638629283489,27.14468395790459,0.7095880927656628,0.29041190723433713,0.0,0.02353755624783662,0.01176877812391831,0.2772585669781931,0.005884389061959155,0.003115264797507788,0.0013845621322256837,0.0027691242644513675,0.00034614053305642093,0.0006922810661128419,1.0533056420906888,1.6168224299065421
3,1,efficient,adaptive,0.01,100,28.96,5,0.11187845303867404,0.11187845303867404,0.21823204419889503,0.033494475138121545,0.23238950276243095,0.36636740331491713,26.991601897711156,0.7196132596685083,0.2803867403314917,0.0,0.026243093922651933,0.015883977900552487,0.27002762430939226,0.004834254143646409,0.0024171270718232043,0.0024171270718232043,0.0024171270718232043,0.0,0.0,1.0569751381215469,1.8238950276243093
4,1,efficient,adaptive,0.01,100,28.82,5,0.1169326856349757,0.1169326856349757,0.24219292158223457,0.015614156835530881,0.20055517002081888,0.3299791811242193,27.2965671465932,0.7102706453851492,0.2897293546148508,0.0,0.021859819569743234,0.015614156835530881,0.28036086051353226,0.005204718945176961,0.0034698126301179735,0.0017349063150589867,0.003122831367106176,0.0,0.0,1.071825121443442,1.6488549618320612
