experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,adaptive,0.5,100,29.57,3,0.0016909029421711193,0.0074399729455529254,0.03314169766655394,0.051065268853567804,0.1501521812647954,0.48393642204937437,22.492507193937108,0.043287115319580655,0.9567128846804194,0.0,0.0,0.0074399729455529254,0.026378085897869462,0.002029083530605343,0.0,0.0006763611768684477,0.0,0.0,0.0,0.03584714237402773,1.2583699695637471
1,1,cautious,adaptive,0.5,100,29.74,2,0.0016812373907195697,0.01109616677874916,0.04673839946200403,0.05043712172158709,0.15837256220578347,0.5174848688634835,22.378127689140104,0.05413584398117014,0.9458641560188299,0.0,0.0,0.00605245460659045,0.03396099529253531,0.0033624747814391394,0.0,0.0010087424344317419,0.0,0.0,0.0,0.04337592468056489,1.296906523201076
2,1,cautious,adaptive,0.5,100,29.7,3,0.0016835016835016834,0.006397306397306397,0.035016835016835016,0.05488215488215488,0.16734006734006734,0.571043771043771,22.09206023810776,0.0367003367003367,0.9632996632996633,0.0,0.0,0.0053872053872053875,0.020202020202020204,0.00101010101010101,0.0,0.0013468013468013469,0.0,0.0,0.0,0.0265993265993266,1.339057239057239
3,1,cautious,adaptive,0.5,100,29.76,2,0.0010080645161290322,0.007728494623655914,0.038306451612903226,0.07258064516129033,0.22278225806451613,0.5574596774193549,22.163055506589668,0.03763440860215054,0.9623655913978495,0.0,0.0,0.00571236559139785,0.02049731182795699,0.0016801075268817205,0.0,0.0003360215053763441,0.0,0.0,0.0,0.02788978494623656,1.324260752688172
4,1,cautious,adaptive,0.5,100,29.89,1,0.00033456005352960856,0.00702576112412178,0.03713616594178655,0.030779524924723987,0.14787554366008698,0.5433255269320844,22.266132059866287,0.05553696888591502,0.944463031114085,0.0,0.0,0.0020073603211776514,0.03713616594178655,0.0016728002676480427,0.0,0.00033456005352960856,0.0,0.0,0.0,0.04081632653061224,1.3338909334225493
