experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,fixed,1.0,100,29.18,5,0.005140507196710075,0.02604523646333105,0.07676490747087046,0.006854009595613434,0.02878684030157642,0.09047292666209733,25.570870193016315,0.1511309115832762,0.12577107607950652,0.4431117203564085,0.27998629198080877,0.16723783413296778,0.011309115832762166,0.020904729266620972,0.26799177518848527,0.01405071967100754,0.004455106237148732,0.0013708019191226869,0.0006854009595613434,nan,nan,0.4859492803289925,0.9167237834132967
1,1,cautious,fixed,1.0,100,29.07,6,0.004471964224286206,0.01891984864121087,0.06260749914000688,0.01238390092879257,0.04231166150670795,0.10663914688682491,25.32381739750089,0.1365669074647403,0.08565531475748193,0.47953216374269003,0.2982456140350877,0.13106295149638802,0.030959752321981424,0.01479188166494668,0.20983832129342966,0.013759889920880633,0.0034399724802201583,0.0010319917440660474,0.0013759889920880633,nan,nan,0.40385276917784657,0.9566563467492261
2,1,cautious,fixed,1.0,100,29.61,2,0.005741303613644039,0.020601148260722728,0.0729483282674772,0.004052684903748734,0.02769334684228301,0.08915906788247213,25.520597439039886,0.13103681188787572,0.10030395136778116,0.4937521107733874,0.27490712597095573,0.1580547112462006,0.01485984464707869,0.015873015873015872,0.22289766970618036,0.014184397163120567,0.005065856129685917,0.00033772374197906115,0.0016886187098953055,nan,nan,0.430935494765282,0.9013846673421142
3,1,cautious,fixed,1.0,100,28.56,11,0.0063025210084033615,0.026260504201680673,0.08858543417366947,0.008753501400560224,0.03326330532212885,0.1053921568627451,25.639549383027568,0.12394957983193278,0.11659663865546219,0.48704481792717086,0.27240896358543415,0.1873249299719888,0.0234593837535014,0.025560224089635854,0.23004201680672268,0.018907563025210083,0.004201680672268907,0.0021008403361344537,0.0010504201680672268,nan,nan,0.4894957983193277,0.8690476190476191
4,1,cautious,fixed,1.0,100,29.44,4,0.005095108695652174,0.026494565217391304,0.08254076086956522,0.003736413043478261,0.024796195652173912,0.10529891304347826,25.55353338006941,0.09714673913043478,0.11073369565217392,0.5047554347826086,0.2873641304347826,0.17255434782608695,0.010529891304347826,0.021739130434782608,0.19735054347826086,0.016644021739130436,0.003736413043478261,0.0016983695652173913,0.0,nan,nan,0.422554347826087,0.9378396739130435
