experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,adaptive,1.0,100,28.58,9,0.013296011196641007,0.13086074177746676,0.2603219034289713,0.06053184044786564,0.18369489153254023,0.2669699090272918,27.69050185171379,0.4020293911826452,0.47865640307907625,0.0370888733379986,0.08222533240027992,0.0,0.0,0.00489853044086774,0.10321903428971309,0.0027991602519244225,0.0006997900629811056,0.005248425472358292,0.0,nan,nan,0.11161651504548635,0.32155353393981806
1,1,efficient,adaptive,1.0,100,27.77,10,0.012243428159884768,0.12567518905293482,0.2405473532589125,0.07778177889809147,0.212099387828592,0.29564277997839394,27.39017608040396,0.4249189773136478,0.49081742888008645,0.023766654663305724,0.06049693914296003,0.0,0.0,0.005401512423478574,0.07057976233345337,0.0018005041411595247,0.0007202016564638099,0.005761613251710479,0.0,nan,nan,0.07850198055455528,0.35505941663665824
2,1,efficient,adaptive,1.0,100,28.48,8,0.014396067415730338,0.12219101123595505,0.2461376404494382,0.05828651685393258,0.15976123595505617,0.2443820224719101,27.943863223846794,0.4259129213483146,0.48314606741573035,0.03195224719101124,0.05898876404494382,0.0,0.0,0.0035112359550561797,0.07338483146067416,0.001053370786516854,0.0007022471910112359,0.004564606741573034,0.0,nan,nan,0.07865168539325842,0.3089887640449438
3,1,efficient,adaptive,1.0,100,28.98,7,0.011732229123533472,0.12456866804692891,0.2494824016563147,0.05831608005521049,0.18426501035196688,0.2784679089026915,27.6558536936148,0.44030365769496205,0.4696342305037957,0.028640441683919944,0.06142167011732229,0.0,0.0,0.0027605244996549345,0.07453416149068323,0.0003450655624568668,0.0003450655624568668,0.004140786749482402,0.0,nan,nan,0.0779848171152519,0.3364389233954451
4,1,efficient,adaptive,1.0,100,27.74,10,0.014780100937274693,0.12977649603460706,0.2516222062004326,0.05767844268204758,0.17195385724585435,0.25919250180245135,27.77382191898771,0.43691420331651043,0.4859408795962509,0.028478731074260993,0.04866618601297765,0.0,0.0,0.003965392934390771,0.06200432588320115,0.0007209805335255948,0.0010814708002883922,0.004325883201153569,0.0,nan,nan,0.06777217015140591,0.3165104542177361
