experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,fixed,1.0,100,29.29,4,0.005121201775349949,0.026971662683509732,0.07374530556503926,0.015022191874359849,0.03482417207237965,0.08808467053601912,25.66624693666293,0.14339364970979857,0.11471491976783885,0.4376920450665756,0.30419938545578695,0.18504609081597814,0.013315124615909868,0.02321611471491977,0.24718333902355752,0.017753499487879822,0.004096961420279959,0.001707067258449983,0.0003414134516899966,0.0,0.0006828269033799932,0.4906111300785251,0.8979173779446911
1,1,cautious,fixed,1.0,100,28.9,8,0.00657439446366782,0.02422145328719723,0.0698961937716263,0.006228373702422145,0.04152249134948097,0.1041522491349481,25.472574733562272,0.1411764705882353,0.09377162629757785,0.4750865051903114,0.28996539792387543,0.15916955017301038,0.032525951557093424,0.02041522491349481,0.22214532871972317,0.011764705882352941,0.004152249134948097,0.0020761245674740486,0.0006920415224913495,0.0,0.00034602076124567473,0.45017301038062285,0.9311418685121108
2,1,cautious,fixed,1.0,100,29.52,3,0.0047425474254742545,0.019986449864498646,0.06842818428184282,0.009146341463414634,0.03048780487804878,0.08570460704607046,25.49319916989843,0.13008130081300814,0.10806233062330624,0.4742547425474255,0.28760162601626016,0.15413279132791327,0.016260162601626018,0.016260162601626018,0.22967479674796748,0.011856368563685637,0.0033875338753387536,0.0016937669376693768,0.00033875338753387534,0.0,0.0,0.43157181571815717,0.8980352303523035
3,1,cautious,fixed,1.0,100,28.94,8,0.005183137525915688,0.023496890117484452,0.07843814789219074,0.007256392536281963,0.02902557014512785,0.10331720801658605,25.67791847993546,0.12335867311679337,0.11679336558396683,0.4861782999308915,0.2736696613683483,0.19695922598479612,0.025224602626123013,0.021078092605390463,0.23047684865238424,0.015894955079474776,0.00414651002073255,0.0010366275051831375,0.000691085003455425,0.0,0.0,0.49378023496890117,0.8776779543883898
4,1,cautious,fixed,1.0,100,29.54,3,0.003046716316858497,0.018957345971563982,0.07041299932295193,0.004062288422477996,0.02877454299255247,0.1035883547731889,25.488732157736703,0.0971563981042654,0.1032498307379824,0.508124576844956,0.2914691943127962,0.16046039268788084,0.012525389302640487,0.017264725795531483,0.1872037914691943,0.012525389302640487,0.002031144211238998,0.0016926201760324984,0.0,0.0,0.0,0.3920108327691266,0.940419769803656
