experiment_id,profile,mode,method,value,num_episodes,episode_length_mean,collision_count,mean_ttc,mean_following_distance,mean_speed,lane_0_time_mean,lane_1_time_mean,speed_violations_rate_mean,tailgating_violations_rate_mean,braking_violations_rate_mean,lane_change_tailgating_violations_rate_mean,lane_change_braking_violations_rate_mean,collision_violations_rate_mean,lane_change_collision_violations_rate_mean,cost_rate_mean,avoided_cost_rate_mean
0,efficient,default,fixed,10.0,100,147.72,3,11.977801592948655,31.155460798458225,27.130743583353155,0.3911273329319688,0.6088726670680312,0.13195335763216556,0.05081227524936134,0.024299225474722165,0.02373720650210717,0.0008609271523178808,0.0,0.0,1.295552215370096,1.1698067754690271
1,efficient,default,fixed,10.0,100,149.92,1,30.67512724589922,30.672296510597754,27.214814900270426,0.3811689511781919,0.6188310488218082,0.14974434005852458,0.0712921607885415,0.024470968735561375,0.022582781456953645,0.0016895117819189897,0.0,0.0,1.4147420298783304,1.037911597104574
2,efficient,default,fixed,10.0,100,149.97,1,13.130102727025134,30.204989775352782,26.930546802651094,0.3859602649006622,0.6140397350993377,0.14862168874172185,0.05273454746136865,0.020927152317880796,0.02332091611479029,0.0010596026490066227,0.0,0.0,1.3866432119205299,1.1495584988962473
3,efficient,default,fixed,10.0,100,146.42,5,14.267098437682,29.28890740349654,26.65727421278952,0.3572103815382106,0.6427896184617893,0.18236592033061919,0.08386759696023507,0.028424174780001903,0.020549217254626398,0.001486786150694013,0.0,0.0,1.6360142404798952,1.0580829321766734
4,efficient,default,fixed,10.0,100,146.72,6,11.337697209654058,28.71892568810329,27.266055362106542,0.3872868806723252,0.6127131193276748,0.13712004771517536,0.04314638671743059,0.022362761230360486,0.024686182203068396,0.0018381333744032034,0.0,0.0,1.2835741538273697,1.25883084993721
