experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,nop,nan,100,25.99,17,0.03270488649480569,0.11966140823393613,0.21969988457098885,0.04424778761061947,0.16275490573297421,0.25663716814159293,28.159066235609977,0.47171989226625627,0.5282801077337438,0.7726048480184686,0.1058099268949596,0.12273951519815314,0.45940746440938823,0.06810311658330127,0.019238168526356292,0.001923816852635629,0.011542901115813775,0.0,0.00038476337052712584,1.5479030396306273,0.039245863793766836
1,1,cautious,nop,nan,100,25.99,17,0.0357829934590227,0.12312427856868026,0.2193151212004617,0.07387456714120816,0.22123893805309736,0.3039630627164294,27.62504793662281,0.4694113120430935,0.5305886879569065,0.7179684494036168,0.11735282801077337,0.12543285879184302,0.458637937668334,0.07079646017699115,0.016160061562139283,0.007695267410542516,0.0061562139284340135,0.0,0.00038476337052712584,1.5063485956136975,0.07656791073489803
2,1,cautious,nop,nan,100,26.51,17,0.03093172387778197,0.12184081478687288,0.21991701244813278,0.057714070162202945,0.2010562052055828,0.2930969445492267,27.71428994486567,0.46208977744247454,0.5379102225575254,0.7261410788381742,0.11278762731044889,0.12636740852508488,0.45341380611090154,0.07468879668049792,0.01886080724254998,0.005281026027913994,0.007544322897019992,0.0,0.0007544322897019992,1.5122595247076576,0.05997736703130894
3,1,cautious,nop,nan,100,28.2,9,0.029078014184397163,0.11560283687943262,0.21170212765957447,0.052127659574468084,0.18936170212765957,0.28581560283687946,27.76855657249139,0.44680851063829785,0.5531914893617021,0.7269503546099291,0.10815602836879433,0.11950354609929079,0.43546099290780144,0.07553191489361702,0.017375886524822696,0.005673758865248227,0.007446808510638298,0.0,0.0,1.4829787234042553,0.07234042553191489
4,1,cautious,nop,nan,100,27.19,14,0.03015814637734461,0.12467819051121735,0.2357484369253402,0.042294961382861346,0.17432879735196763,0.2633321073924237,28.0044038571532,0.45825671202648033,0.5417432879735197,0.7576314821625597,0.10628907686649504,0.12982714233173961,0.44832659065833025,0.08054431776388378,0.01802133137182788,0.002206693637366679,0.009930121368150056,0.0,0.0,1.5406399411548364,0.04817947774917249
