experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,adaptive,0.01,100,29.34,4,0.0034083162917518746,0.023858214042263123,0.07225630538513975,0.02556237218813906,0.12917518745739603,0.2798227675528289,24.228255802043307,0.30811179277436945,0.6918882072256305,0.06612133605998637,0.0541922290388548,0.025903203817314247,0.3019768234492161,0.026584867075664622,0.0010224948875255625,0.0010224948875255625,0.00034083162917518747,0.0,0.0,0.4758009543285617,1.0705521472392638
1,1,cautious,adaptive,0.01,100,29.28,5,0.005806010928961749,0.031420765027322405,0.08469945355191257,0.01639344262295082,0.1253415300546448,0.2797131147540984,24.43895251158963,0.3162568306010929,0.6837431693989071,0.09153005464480875,0.054986338797814206,0.029030054644808744,0.30396174863387976,0.028005464480874317,0.001366120218579235,0.0010245901639344263,0.0,0.0,0.0,0.5088797814207651,1.069672131147541
2,1,cautious,adaptive,0.01,100,30.0,0,0.0023333333333333335,0.017,0.066,0.016666666666666666,0.135,0.31733333333333336,24.085311325377027,0.31733333333333336,0.6826666666666666,0.072,0.060333333333333336,0.019333333333333334,0.30933333333333335,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.4876666666666667,1.107
3,1,cautious,adaptive,0.01,100,30.0,0,0.003,0.021,0.06566666666666666,0.041,0.161,0.312,24.110775743138085,0.26266666666666666,0.7373333333333333,0.07333333333333333,0.055,0.02033333333333333,0.254,0.021333333333333333,0.001,0.0,0.0,0.0,0.0,0.425,1.0846666666666667
4,1,cautious,adaptive,0.01,100,29.79,1,0.003356831151393085,0.023162134944612285,0.0751930177912051,0.01812688821752266,0.10641154749916079,0.27526015441423296,24.43427002447581,0.3309835515273582,0.6690164484726419,0.09063444108761329,0.04968110104061766,0.025176233635448138,0.32091305807317894,0.02920443101711984,0.0010070493454179255,0.0003356831151393085,0.0003356831151393085,0.0,0.0,0.5166163141993958,1.0681436723732796
