experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,adaptive,0.3162,100,29.57,3,0.0016909029421711193,0.0074399729455529254,0.03347987825498817,0.04802164355765979,0.1487994589110585,0.4832600608725059,22.497579902763622,0.0524179912073047,0.9475820087926953,0.0,0.0,0.0074399729455529254,0.03584714237402773,0.002029083530605343,0.0,0.0006763611768684477,0.0,0.0,0.0,0.045316198850186,1.2593845113290496
1,1,cautious,adaptive,0.3162,100,29.58,3,0.002028397565922921,0.011494252873563218,0.04766734279918864,0.04496281271129141,0.14638269100743745,0.5091277890466531,22.421118055114942,0.061866125760649086,0.9381338742393509,0.0,0.0,0.006423258958755916,0.04158215010141988,0.0037187288708586883,0.0,0.000676132521974307,0.0,0.0,0.0,0.05172413793103448,1.2853279242731575
2,1,cautious,adaptive,0.3162,100,29.7,3,0.0016835016835016834,0.006397306397306397,0.035016835016835016,0.05488215488215488,0.16296296296296298,0.562962962962963,22.13408847563498,0.03939393939393939,0.9606060606060606,0.0,0.0,0.005050505050505051,0.022895622895622896,0.00101010101010101,0.0,0.0013468013468013469,0.0,0.0,0.0,0.028956228956228958,1.3430976430976431
3,1,cautious,adaptive,0.3162,100,29.76,2,0.0010080645161290322,0.007728494623655914,0.03763440860215054,0.07224462365591398,0.2217741935483871,0.5577956989247311,22.161662509666154,0.037298387096774195,0.9627016129032258,0.0,0.0,0.00571236559139785,0.020161290322580645,0.0020161290322580645,0.0,0.0003360215053763441,0.0,0.0,0.0,0.02788978494623656,1.323252688172043
4,1,cautious,adaptive,0.3162,100,29.89,1,0.00033456005352960856,0.006691201070592171,0.03680160588825694,0.030779524924723987,0.14754098360655737,0.5433255269320844,22.266132059866287,0.05520240883238541,0.9447975911676146,0.0,0.0,0.0020073603211776514,0.03680160588825694,0.0020073603211776514,0.0,0.00033456005352960856,0.0,0.0,0.0,0.04081632653061224,1.3352291736366677
