experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,naive,nan,100,27.25,12,0.11229357798165138,0.11229357798165138,0.22348623853211008,0.03743119266055046,0.20330275229357797,0.32256880733944954,27.409449993196368,0.7368807339449541,0.2631192660550459,0.0,0.03743119266055046,0.02165137614678899,0.2535779816513761,0.007339449541284404,0.0047706422018348625,0.0007339449541284404,0.004403669724770643,0.0,0.0003669724770642202,1.116697247706422,1.606605504587156
1,1,efficient,naive,nan,100,27.2,12,0.11727941176470588,0.11727941176470588,0.22242647058823528,0.04852941176470588,0.23198529411764707,0.3323529411764706,27.394119878041018,0.7466911764705882,0.25330882352941175,0.0,0.04154411764705882,0.023529411764705882,0.24338235294117647,0.0055147058823529415,0.004411764705882353,0.003676470588235294,0.0033088235294117647,0.0007352941176470588,0.0,1.1051470588235295,1.7033088235294118
2,1,efficient,naive,nan,100,28.6,6,0.11118881118881119,0.11118881118881119,0.22237762237762237,0.03531468531468532,0.20664335664335665,0.3202797202797203,27.415017516137077,0.7090909090909091,0.2909090909090909,0.0,0.04230769230769231,0.019230769230769232,0.2776223776223776,0.00944055944055944,0.004195804195804196,0.001048951048951049,0.0038461538461538464,0.00034965034965034965,0.0006993006993006993,1.2087412587412587,1.4923076923076923
3,1,efficient,naive,nan,100,28.65,8,0.11518324607329843,0.11518324607329843,0.22303664921465968,0.03944153577661431,0.2094240837696335,0.3382198952879581,27.329464127015335,0.7204188481675393,0.27958115183246074,0.0,0.03420593368237347,0.019895287958115182,0.2684118673647469,0.007329842931937173,0.0038394415357766143,0.0010471204188481676,0.0038394415357766143,0.0,0.00034904013961605586,1.131588132635253,1.649912739965096
4,1,efficient,naive,nan,100,27.74,10,0.13229992790194664,0.13229992790194664,0.2516222062004326,0.029920692141312183,0.18997837058399422,0.29632299927901945,27.71008169532072,0.7271088680605624,0.27289113193943765,0.0,0.03172314347512617,0.025594808940158614,0.2627974044700793,0.010093727469358327,0.00684931506849315,0.0021629416005767843,0.006488824801730353,0.0007209805335255948,0.0003604902667627974,1.1596971881759193,1.5187454938716656
