experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,naive,nan,100,28.3,9,0.014840989399293287,0.10282685512367491,0.21060070671378092,0.03286219081272085,0.19151943462897528,0.3060070671378092,27.527992905374116,0.7540636042402827,0.24593639575971732,0.0,0.04063604240282685,0.01872791519434629,0.23498233215547704,0.01872791519434629,0.015547703180212015,0.0014134275618374558,0.01519434628975265,0.0035335689045936395,0.0031802120141342758,0.3286219081272085,0.4088339222614841
1,1,efficient,naive,nan,100,28.12,10,0.015291607396870554,0.10384068278805121,0.2108819345661451,0.041963015647226175,0.22652916073968707,0.3225462304409673,27.39593193144423,0.7709815078236131,0.22901849217638692,0.0,0.05440967283072546,0.015291607396870554,0.21763869132290184,0.019559032716927455,0.016002844950213372,0.004267425320056899,0.016002844950213372,0.004623044096728307,0.003200568990042674,0.3229018492176387,0.4349217638691323
2,1,efficient,naive,nan,100,28.88,7,0.014542936288088643,0.10457063711911357,0.2157202216066482,0.04016620498614958,0.20429362880886426,0.31786703601108035,27.4125840638243,0.7330332409972299,0.26696675900277006,0.0,0.05332409972299169,0.015235457063711912,0.25450138504155123,0.0221606648199446,0.012465373961218837,0.0031163434903047093,0.012465373961218837,0.005886426592797784,0.006232686980609419,0.3576869806094183,0.3763850415512465
3,1,efficient,naive,nan,100,28.58,9,0.01749475157452764,0.10811756473058083,0.21553533939818054,0.04198740377886634,0.21343596920923724,0.34079776067179846,27.29106031006979,0.7449265220433869,0.255073477956613,0.0,0.04478656403079076,0.015745276417074877,0.24422673198040587,0.02099370188943317,0.015395381385584325,0.0034989503149055285,0.015395381385584325,0.005598320503848845,0.0034989503149055285,0.34114765570328903,0.4174247725682295
4,1,efficient,naive,nan,100,28.52,7,0.019635343618513323,0.12272089761570827,0.23948106591865356,0.03260869565217391,0.1900420757363254,0.29277699859747547,27.713854062085677,0.7521037868162693,0.2478962131837307,0.0,0.03997194950911641,0.020336605890603085,0.23597475455820477,0.019985974754558204,0.016479663394109396,0.0038569424964936885,0.016479663394109396,0.00455820476858345,0.0017531556802244039,0.3327489481065919,0.4112903225806452
