experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,adaptive,0.01,100,29.65,3,0.003372681281618887,0.012478920741989882,0.045531197301854974,0.011129848229342328,0.029679595278246207,0.07959527824620573,24.982029853930758,0.17268128161888702,0.11231028667790893,0.4293423271500843,0.28566610455311975,0.034401349072512646,0.01315345699831366,0.009443507588532884,0.27521079258010117,0.012141652613827993,0.002023608768971332,0.0016863406408094434,0.0,0.0,0.0,0.3463743676222597,1.069814502529511
1,1,cautious,adaptive,0.01,100,29.34,4,0.0034083162917518746,0.012610770279481936,0.04021813224267212,0.008861622358554875,0.03067484662576687,0.08316291751874574,24.967604473667773,0.1468984321745058,0.1087252897068848,0.48773006134969327,0.25664621676891614,0.028970688479890934,0.018064076346284937,0.010906612133605999,0.24335378323108384,0.009202453987730062,0.0006816632583503749,0.0017041581458759373,0.0,0.0,0.00034083162917518747,0.3111792774369461,1.0702113156100885
2,1,cautious,adaptive,0.01,100,29.5,4,0.002033898305084746,0.009152542372881356,0.04305084745762712,0.004067796610169492,0.017627118644067796,0.07559322033898305,24.93049505715394,0.1430508474576271,0.11559322033898305,0.4959322033898305,0.2454237288135593,0.025423728813559324,0.009491525423728813,0.006779661016949152,0.25254237288135595,0.00983050847457627,0.001016949152542373,0.0006779661016949153,0.0,0.0,0.0,0.3050847457627119,1.0413559322033898
3,1,cautious,adaptive,0.01,100,29.93,1,0.0023387905111927833,0.010691613765452723,0.04376879385232209,0.005679919812896759,0.02539258269295022,0.09254928165720014,24.93437718268403,0.1683929168058804,0.11460073504844638,0.4771132642833278,0.23989308386234548,0.033077180086869364,0.023053792181757436,0.00968927497494153,0.2749749415302372,0.011693952555963916,0.001670564650851988,0.0006682258603407952,0.0003341129301703976,0.0,0.0,0.35415970598062146,1.037754761109255
4,1,cautious,adaptive,0.01,100,29.76,1,0.0013440860215053765,0.009408602150537635,0.04065860215053763,0.002688172043010753,0.03225806451612903,0.09643817204301075,24.824627952521375,0.10685483870967742,0.11928763440860216,0.5080645161290323,0.2657930107526882,0.029233870967741934,0.013776881720430107,0.007056451612903226,0.21370967741935484,0.010416666666666666,0.0010080645161290322,0.0006720430107526882,0.0,0.0,0.0,0.2752016129032258,1.0695564516129032
