experiment_id,profile,mode,method,value,num_episodes,episode_length_mean,collision_count,mean_ttc,mean_following_distance,mean_speed,lane_0_time_mean,lane_1_time_mean,speed_violations_rate_mean,tailgating_violations_rate_mean,braking_violations_rate_mean,lane_change_tailgating_violations_rate_mean,lane_change_braking_violations_rate_mean,collision_violations_rate_mean,lane_change_collision_violations_rate_mean,cost_rate_mean,avoided_cost_rate_mean
0,cautious,default,adaptive,0.001,100,149.86,1,19.031491633992744,31.98703709315531,26.66441348010577,0.2705960264900662,0.7294039735099338,0.19680329335958477,0.054911401467692855,0.028421335242527303,0.02019867549668874,0.002582781456953642,0.0,0.0,1.6219455879720786,2.54779130123501
1,cautious,default,adaptive,0.001,100,151.0,0,28.16792340696629,32.25023553343404,26.782696243269406,0.3071523178807947,0.6928476821192053,0.20927152317880793,0.047880794701986744,0.029867549668874175,0.02026490066225166,0.0020529801324503313,0.0,0.0,1.687483443708609,2.49317880794702
2,cautious,default,adaptive,0.001,100,151.0,0,197.82969078726157,30.433012353342598,26.386669264852955,0.2821192052980132,0.7178807947019868,0.19364238410596027,0.05112582781456952,0.031456953642384114,0.02105960264900662,0.0028476821192052982,0.0,0.0,1.6025827814569538,2.5285430463576155
3,cautious,default,adaptive,0.001,100,148.85,2,15.736681508596664,31.1241390401036,26.290028246809683,0.27376976004128317,0.7262302399587167,0.17130274361400188,0.06838995441644448,0.027352455491528337,0.017478283306097873,0.001986754966887417,0.0,0.0,1.5436025629999137,2.620707405177604
4,cautious,default,adaptive,0.001,100,149.77,1,65.60236745057922,30.317786682445988,26.64302328601591,0.2929139072847682,0.7070860927152318,0.18466177861873226,0.04376064333017975,0.02746688741721854,0.020622043519394513,0.0026087984862819295,0.0,0.0,1.5340870387890257,2.5372682119205296
